,City,Country,Latitude,Longitude,Temp (°F),Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,bredasdorp,ZA,-34.5322,20.0403,55.4,55.4,82,2,4.61
1,port lincoln,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
2,mataura,NZ,-46.1927,168.8643,49.3,49.3,78,97,6.71
3,akcakoca,TR,41.0866,31.1162,34.75,34.75,86,53,5.93
4,ponta do sol,PT,38.7333,-28.2667,58.98,58.98,98,100,28.74
5,avarua,CK,-21.2078,-159.775,81.09,81.09,76,50,14.47
6,narsaq,GL,60.9167,-46.05,44.6,44.6,31,75,26.46
7,port elizabeth,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
8,atuona,PF,-9.8,-139.0333,78.98,78.98,75,16,18.57
9,upernavik,GL,72.7868,-56.1549,-12.82,-12.82,86,27,11.45
10,kapaa,US,22.0752,-159.319,74.52,75.2,73,90,17.27
11,pisco,PE,-13.7,-76.2167,74.86,77.0,61,0,16.11
12,busselton,AU,-33.65,115.3333,64.76,66.0,92,0,1.01
13,albany,US,42.6001,-73.9662,16.54,17.01,56,39,1.99
14,rikitea,PF,-23.1203,-134.9692,79.88,79.88,67,93,6.33
15,cockburn town,AU,-32.0833,141.0,77.0,77.0,78,90,8.05
16,ixtapa,MX,20.7,-105.2,79.45,79.45,50,70,3.31
17,hobart,AU,-42.8794,147.3294,61.86,64.99,55,75,13.8
18,mar del plata,ES,43.4002,-4.0094,54.07,55.0,100,0,2.86
19,ushuaia,AR,-54.8,-68.3,42.8,42.8,81,75,28.77
20,borogontsy,RU,62.6683,131.1683,-49.07,-49.07,75,97,1.77
21,tessalit,ML,20.1986,1.0114,65.34,65.34,27,0,13.91
22,sibolga,ID,1.7427,98.7792,75.4,75.4,70,100,4.21
23,mount isa,GB,53.6597,-1.8537,45.97,45.97,95,100,15.97
24,cherskiy,RU,68.75,161.3,-29.54,-29.54,85,61,2.66
25,chuy,UY,-33.6971,-53.4616,69.37,69.37,73,18,11.05
26,punta arenas,PH,8.9897,125.34,77.72,77.72,83,98,2.06
27,santa maria,PH,17.486,120.4348,72.72,72.72,66,9,10.45
28,lac du bonnet,AL,41.6356,19.7131,39.2,39.2,60,90,8.05
29,fort beaufort,NL,52.6517,6.3861,36.28,37.99,93,100,5.01
30,rocha,UY,-34.4833,-54.3333,71.74,71.74,50,11,13.49
31,hilo,US,19.7297,-155.09,74.46,78.8,57,90,8.05
32,torbay,CA,47.6666,-52.7314,22.82,22.82,91,100,11.65
33,sidi ali,CF,5.0829,19.8781,77.68,77.68,57,86,6.46
34,hervey bay,US,33.4982,-93.7771,44.33,46.4,49,1,4.16
35,gopalpur,IN,19.2667,84.9167,67.55,67.55,84,0,3.87
36,tuktoyaktuk,CA,69.4541,-133.0374,-28.5,-28.5,84,3,8.79
37,sobolevo,RU,54.4299,31.8996,25.74,25.74,98,95,5.48
38,pringsewu,ID,-5.3582,104.9744,72.91,72.91,92,97,1.41
39,puerto ayora,ES,36.5939,-6.233,53.73,54.0,100,90,2.3
40,nanortalik,GL,60.1432,-45.2371,30.85,30.85,91,100,8.05
41,geraldton,AU,-28.7667,114.6,82.4,82.4,34,0,11.5
42,jamestown,US,42.097,-79.2353,17.2,18.0,86,90,12.66
43,sechura,PE,-5.5569,-80.8222,80.08,80.08,61,86,13.96
44,arrecife,ES,28.963,-13.5477,59.0,59.0,94,20,2.3
45,codrington,AU,-38.2667,141.9667,66.65,66.65,95,100,7.49
46,mandiana,GN,10.6333,-8.6833,71.87,71.87,20,4,3.36
47,saint-pierre,RE,-21.3393,55.4781,74.46,77.0,69,0,8.05
48,mys shmidta,RU,62.0589,48.6201,24.76,24.76,98,100,4.76
49,norman wells,US,35.2226,-97.4395,43.21,44.6,49,1,11.5
50,bengkulu,ID,-3.8004,102.2655,75.27,75.27,87,99,10.25
51,ancud,CL,-41.8697,-73.8203,56.32,56.32,76,44,5.77
52,liaoyang,CN,41.2719,123.1731,0.86,0.86,85,2,2.46
53,sheltozero,RU,61.3667,35.3667,25.25,25.25,98,100,10.2
54,altagracia de orituco,NI,11.5662,-85.5784,82.4,82.4,61,0,22.37
55,onda,ES,39.9667,-0.25,65.26,66.99,59,0,3.44
56,novorzhev,RU,57.0294,29.3338,28.67,28.67,98,99,2.8
57,roald,NO,62.5833,6.1333,33.49,33.8,64,75,17.27
58,qaanaaq,GL,77.484,-69.3632,-13.83,-13.83,66,0,7.78
59,isangel,VU,-19.55,169.2667,86.0,86.0,74,75,9.22
60,nikolskoye,RU,59.7035,30.7861,29.57,30.2,100,75,8.95
61,longyearbyen,SJ,78.2186,15.6401,-2.2,-2.2,46,20,19.57
62,cidreira,BR,-30.1811,-50.2056,72.86,72.86,91,100,15.3
63,sharan,RU,54.8167,54.0,18.63,18.63,93,100,7.94
64,mount gambier,GB,53.6597,-1.8537,46.87,48.0,38,100,5.99
65,saskylakh,RU,71.9167,114.0833,-41.22,-41.22,79,40,4.23
66,canon city,FR,49.0738,-0.0922,53.49,53.49,84,99,20.02
67,banjar,ID,-8.19,114.9675,82.4,82.4,83,40,9.22
68,verkhnevilyuysk,RU,63.4453,120.3167,-51.56,-51.56,76,84,2.55
69,iqaluit,CA,63.7506,-68.5145,-3.62,-3.62,84,0,17.25
70,tianpeng,CN,30.9866,103.9393,46.04,48.2,87,20,6.71
71,dingle,PH,10.9995,122.6711,73.76,73.76,90,88,9.93
72,souillac,MU,-20.5167,57.5167,75.2,75.2,94,40,1.14
73,balassagyarmat,HU,48.073,19.2961,33.01,33.01,89,100,2.55
74,vaini,TO,-21.2,-175.2,78.8,78.8,94,75,21.85
75,ponta delgada,PT,38.7333,-28.2667,58.98,58.98,98,100,28.74
76,nouadhibou,MR,20.931,-17.0347,70.81,70.81,48,0,12.39
77,meulaboh,ID,4.1363,96.1285,75.09,75.09,86,100,4.65
78,ocos,GT,14.5094,-92.1933,82.11,82.11,65,99,4.74
79,dikson,RU,73.5069,80.5464,-32.08,-32.08,79,63,3.24
80,ribeira grande,ES,42.7461,-8.4439,52.81,55.99,94,75,12.66
81,zlobin,HR,45.2924,14.6541,43.84,45.0,100,75,9.22
82,safita,SY,34.8205,36.1153,49.12,53.01,77,72,8.99
83,aranos,NA,-24.1333,19.1167,76.84,76.84,31,73,10.22
84,kondinskoye,RU,59.6481,67.41,16.52,16.52,97,77,6.78
85,mongoumba,CF,3.6415,18.5936,80.02,80.02,51,93,3.33
86,dunda,TZ,-8.1167,34.25,63.41,63.41,92,92,0.18
87,barrow,US,71.2906,-156.7887,-17.32,-17.32,88,95,10.27
88,atar,MR,20.5169,-13.0499,67.51,67.51,26,0,9.1
89,arraial do cabo,BR,-22.8362,-46.646,75.76,78.01,78,0,6.91
90,lavrentiya,RU,65.5833,-171.0,-12.26,-12.26,84,100,13.91
91,madang,PG,-5.2246,145.7966,83.68,83.68,68,100,3.13
92,kaitangata,NZ,-46.2817,169.8464,52.0,52.0,84,97,5.99
93,ahipara,NZ,-35.1667,173.1667,65.7,65.7,57,52,17.25
94,nhulunbuy,AU,-12.2333,136.7667,82.6,82.6,77,99,11.74
95,nuuk,GL,64.1835,-51.7216,30.2,30.2,64,20,14.97
96,salinas,US,36.6777,-121.6555,53.06,53.6,82,90,17.27
97,buraydah,SA,26.326,43.975,65.25,65.25,41,60,4.88
98,shimoda,JP,34.6667,138.95,42.75,44.6,57,20,20.71
99,tiksi,RU,71.6872,128.8694,-22.16,-22.16,87,99,7.14
100,kyren,RU,51.6828,102.1408,0.59,0.59,86,100,1.39
101,ornskoldsvik,SE,63.2909,18.7153,2.79,2.79,92,0,5.08
102,bonavista,CA,48.6499,-53.1147,21.6,25.0,93,100,5.75
103,chicama,PE,-7.8447,-79.1469,71.6,71.6,78,0,8.05
104,santiago,CL,-33.4569,-70.6483,75.94,77.0,36,90,6.91
105,pangnirtung,CA,66.1451,-65.7125,-7.6,-7.6,77,1,6.91
106,mahebourg,MU,-20.4081,57.7,75.2,75.2,94,40,1.14
107,aigle,CH,46.3181,6.9646,45.23,45.23,74,100,5.23
108,new norfolk,LR,6.6518,-10.5932,77.0,77.0,94,0,2.62
109,ormara,PK,25.2088,64.6357,64.85,64.85,47,0,3.87
110,east london,IS,65.0,-15.0,21.2,21.2,86,75,3.44
111,hermanus,ZA,-34.4187,19.2345,62.24,62.24,76,20,5.88
112,alofi,NU,-19.0595,-169.9187,78.8,78.8,89,90,13.8
113,severo-kurilsk,RU,50.6789,156.125,28.29,28.29,92,72,7.36
114,junin,AR,-34.5838,-60.9433,73.0,73.0,39,96,5.03
115,kodiak,US,57.79,-152.4072,33.21,33.21,95,100,21.59
116,berlevag,NO,70.8578,29.0864,22.98,22.98,92,100,21.05
117,huejucar,MX,22.35,-103.2167,72.82,72.82,33,6,8.5
118,hithadhoo,MV,-0.6,73.0833,81.81,81.81,71,79,10.58
119,anloga,GH,5.7947,0.8973,82.4,82.4,83,20,9.22
120,cape town,CL,-36.413,-71.9028,61.77,61.77,76,100,3.22
121,jonesboro,US,35.8423,-90.7043,35.85,37.4,52,1,6.91
122,yumen,CN,40.2833,97.2,20.17,20.17,75,0,14.72
123,port augusta,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
124,mantua,IT,45.1667,10.7833,31.3,32.0,92,13,1.01
125,kalmunai,LK,7.4167,81.8167,75.31,75.31,91,100,9.26
126,valjevo,RS,44.2751,19.8982,32.0,32.0,80,90,13.8
127,linhares,BR,-19.3911,-40.0722,73.4,73.4,87,1,5.26
128,upington,ZA,-28.4478,21.2561,69.8,69.8,35,0,5.75
129,port alfred,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
130,thompson,CA,55.7435,-97.8558,-2.76,-2.76,91,100,6.71
131,leningradskiy,RU,69.3833,178.4167,-19.91,-19.91,85,75,4.41
132,bangassou,CF,4.7413,22.8184,68.72,68.72,85,90,1.1
133,saldanha,ZA,-33.0117,17.9442,62.02,62.02,87,0,11.79
134,havelock,US,34.8791,-76.9013,35.22,36.0,68,18,5.99
135,samarai,PG,-10.6167,150.6667,84.63,84.63,69,90,7.34
136,dicabisagan,PH,17.0818,122.4157,71.73,71.73,81,77,13.11
137,soyo,AO,-6.1349,12.3689,79.93,79.93,81,99,6.96
138,santiago del estero,CL,-33.4569,-70.6483,75.94,77.0,36,90,6.91
139,olga,RU,43.7444,135.2892,8.04,8.04,89,100,20.62
140,port blair,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
141,vostok,RU,46.4856,135.8833,-6.65,-6.65,91,100,4.23
142,kodino,RU,63.7198,39.6447,13.64,13.64,96,100,7.78
143,ust-kan,RU,50.9276,84.761,10.35,10.35,89,48,4.61
144,talnakh,RU,69.4865,88.3972,-32.85,-32.85,72,0,3.8
145,yellowknife,CA,62.456,-114.3525,-21.19,-20.0,76,20,3.44
146,noci,IT,40.7907,17.1317,42.78,42.78,73,100,6.46
147,hasaki,JP,35.7333,140.8333,40.66,42.01,81,20,8.05
148,waipawa,NZ,-41.4122,175.5153,60.17,61.0,59,20,20.71
149,piacabucu,BR,-10.4056,-36.4344,78.01,78.01,79,90,9.48
150,kruisfontein,ZA,-34.0033,24.7314,57.99,57.99,87,0,3.78
151,kindu,CD,-2.95,25.95,68.47,68.47,92,96,2.42
152,yabelo,ET,4.8833,38.0833,60.15,60.15,51,77,13.91
153,bakel,SN,14.905,-12.4568,74.14,74.14,16,11,9.98
154,ceres,US,37.5949,-120.9577,50.31,51.01,87,90,11.5
155,khatanga,RU,71.9667,102.5,-42.3,-42.3,74,0,2.71
156,itarema,BR,-2.9248,-39.9167,80.51,80.51,76,99,13.13
157,kirkwall,GB,58.9848,-2.9587,37.4,37.4,70,75,13.8
158,kargil,IN,34.5667,76.1,-6.21,-6.21,72,100,1.28
159,nishihara,JP,26.1842,127.7558,54.72,57.2,54,75,24.16
160,kaeo,NZ,-35.1,173.7833,70.5,70.5,45,3,9.08
161,ghanzi,BW,-21.5667,21.7833,69.31,69.31,84,80,2.51
162,qaqortoq,GL,60.7167,-46.0333,41.04,41.04,62,100,16.35
163,imeni poliny osipenko,NG,7.3199,5.9646,74.77,74.77,79,0,3.69
164,ereymentau,KZ,51.6199,73.1033,19.54,19.54,94,100,15.59
165,bathsheba,BB,13.2167,-59.5167,76.73,76.73,73,36,12.24
166,butaritari,KI,3.0707,172.7902,80.73,80.73,79,94,15.88
167,asmara,ER,15.3333,38.9333,53.67,53.67,57,0,2.26
168,caravelas,BR,-17.7125,-39.2481,76.46,76.46,83,0,6.24
169,lebu,CL,-37.6167,-73.65,58.37,58.37,96,100,13.0
170,biak,ID,-0.9131,122.8766,80.24,80.24,70,97,3.96
171,pirgos,GR,35.1167,25.7178,46.99,46.99,56,5,9.15
172,ngaoundere,CM,7.3167,13.5833,65.77,65.77,25,88,4.72
173,kulhudhuffushi,MV,6.6221,73.07,80.65,80.65,58,0,4.63
174,shalinskoye,RU,55.7228,93.7594,-10.48,-10.48,90,100,6.42
175,port hardy,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
176,vao,NC,-22.6667,167.4833,76.42,76.42,81,80,20.54
177,hovd,MN,48.0056,91.6419,3.97,3.97,83,0,1.39
178,carnarvon,AU,-24.8667,113.6333,75.2,75.2,73,0,12.66
179,richards bay,US,46.8361,-95.9123,10.53,10.53,95,97,10.74
180,sola,VU,-13.8833,167.55,82.94,82.94,73,100,4.65
181,provideniya,RU,64.3833,-173.3,10.4,10.4,72,0,17.9
182,saint-francois,FR,46.4154,3.9054,51.89,52.0,93,100,6.91
183,villefranche-de-rouergue,FR,44.3333,2.0,48.72,50.0,93,75,4.61
184,dudinka,RU,69.4058,86.1778,-35.14,-35.14,75,7,5.5
185,chekhov,RU,55.1431,37.4711,32.0,32.0,96,100,9.1
186,broome,US,42.2506,-75.833,8.96,8.96,93,100,10.2
187,birobidzhan,RU,48.8,132.95,-8.81,-8.81,84,94,4.03
188,pevek,RU,69.7008,170.3133,-21.24,-21.24,87,49,1.72
189,acajutla,SV,13.5928,-89.8275,83.05,83.05,57,100,3.67
190,sweetwater,US,25.7634,-80.3731,64.71,64.71,47,15,16.17
191,bluff,NZ,-46.6,168.3333,51.62,51.62,68,100,14.0
192,mount pleasant,GB,53.6597,-1.8537,45.97,45.97,95,100,15.97
193,port hedland,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
194,grand gaube,US,38.8755,-109.5012,41.0,41.0,45,1,6.91
195,assiniboia,CA,49.6334,-105.9845,17.6,17.6,79,100,10.36
196,pueblo,US,38.2545,-104.6091,42.75,44.01,65,1,4.61
197,tasiilaq,GL,65.6145,-37.6368,26.6,26.6,86,90,19.57
198,faanui,PF,-16.4833,-151.75,81.16,81.16,67,100,6.2
199,beringovskiy,RU,63.05,179.3167,-0.71,-0.71,92,100,21.3
200,marica,BR,-22.9194,-42.8186,85.91,89.01,65,0,6.91
201,georgetown,MY,5.4112,100.3354,74.93,77.0,88,20,4.61
202,guane,CU,22.2025,-84.0875,68.61,68.61,72,49,11.72
203,rio gallegos,GR,38.3,21.7833,45.21,45.21,57,48,5.06
204,san cristobal,ML,13.3034,-4.8956,70.63,70.63,16,0,7.4
205,palmer,US,42.1584,-72.3287,19.17,21.2,58,20,16.11
206,paraiso,CR,9.8383,-83.8656,60.44,60.44,84,48,6.35
207,mahajanga,MG,-15.7167,46.3167,80.13,80.13,77,81,8.32
208,plerin,FR,48.5425,-2.7798,52.0,52.0,89,76,11.01
209,nokaneng,BW,-19.6667,22.2667,70.57,70.57,86,99,4.12
210,norfolk,US,42.1668,-71.2495,24.89,24.89,91,100,11.41
211,manokwari,ID,-0.8667,134.0833,80.76,80.76,74,100,11.48
212,san patricio,ML,13.3034,-4.8956,70.63,70.63,16,0,7.4
213,santa eulalia del rio,PH,17.486,120.4348,72.72,72.72,66,9,10.45
214,fayaoue,NC,-20.65,166.5333,80.65,80.65,81,50,22.1
215,vila,PT,42.0304,-8.1588,52.0,52.0,95,99,5.99
216,khorixas,NA,-20.3667,14.9667,74.01,74.01,44,62,5.64
217,bakchar,RU,57.0186,82.0711,24.37,24.37,98,100,13.13
218,tilichiki,RU,60.4667,166.1,-0.26,-0.26,93,99,9.33
219,cabo san lucas,BR,-8.2833,-35.0333,78.8,78.8,69,40,6.91
220,soe,ID,-9.8607,124.284,71.94,71.94,91,100,4.07
221,sitka,US,57.0531,-135.33,35.6,35.6,64,75,9.22
222,vyshestebliyevskaya,RU,45.1961,37.0181,41.0,41.0,65,36,13.42
223,amapa,BR,1.0,-52.0,72.86,72.86,98,86,3.87
224,price,US,39.5994,-110.8107,33.8,33.8,51,1,3.44
225,damietta,EG,31.4165,31.8133,55.4,55.4,58,0,17.27
226,airai,TL,-8.9266,125.4092,63.84,63.84,100,100,5.95
227,aras,ES,42.5617,-2.356,51.3,51.3,86,66,7.78
228,poronaysk,RU,49.2167,143.1167,-2.11,-2.11,89,81,8.68
229,tubbergen,NL,52.4,6.7667,37.06,37.99,96,100,5.99
230,karasjok,NO,69.4719,25.5112,14.0,14.0,79,90,8.05
231,bandarbeyla,SO,9.4942,50.8122,72.0,72.0,82,5,15.32
232,aleksandrov gay,RU,56.4,38.71,29.01,29.01,98,100,8.52
233,elban,RU,50.1018,136.5094,-9.53,-9.53,85,100,4.92
234,clyde river,US,41.3042,-82.9752,21.38,21.99,65,99,12.8
235,katsuura,JP,35.1333,140.3,46.56,46.56,56,26,15.19
236,apatou,GF,5.155,-54.3472,71.55,71.55,90,73,2.33
237,sao filipe,IN,20.5113,76.2129,58.17,58.17,43,10,5.39
238,sabla,NG,12.7525,4.7077,72.82,72.82,19,0,14.07
239,batagay,RU,67.6333,134.6333,-48.46,-48.46,74,43,1.5
240,acapulco,MX,16.8634,-99.8901,81.05,81.05,68,100,9.31
241,ilulissat,GL,69.2167,-51.1,-0.62,-0.62,71,0,8.79
242,chokurdakh,RU,70.6333,147.9167,-19.28,-19.28,88,100,7.11
243,prescott,US,34.54,-112.4685,40.87,43.0,65,1,3.44
244,emba,KZ,48.8264,58.1442,14.77,14.77,91,72,12.17
245,santa rosalia,PH,17.486,120.4348,72.72,72.72,66,9,10.45
246,grand river south east,US,38.8755,-109.5012,41.0,41.0,45,1,6.91
247,oxelosund,SE,58.6706,17.1015,28.4,28.4,100,75,10.36
248,badou,TG,7.5833,0.6,75.2,75.2,71,9,2.04
249,klaksvik,FO,62.2266,-6.589,37.67,37.67,75,8,24.0
250,vila velha,PT,42.0304,-8.1588,52.0,52.0,95,99,7.0
251,torquay,GB,50.4638,-3.5143,48.69,50.0,1,84,1.99
252,gat,IL,31.61,34.7642,49.68,52.0,100,29,1.99
253,atakpame,TG,7.5333,1.1333,77.5,77.5,71,29,5.32
254,antofagasta,CL,-23.65,-70.4,66.2,66.2,82,90,12.66
255,tsiroanomandidy,MG,-18.7667,46.0333,68.11,68.11,92,20,0.87
256,winneba,GH,5.3511,-0.6231,82.4,82.4,83,0,9.22
257,kurdzhinovo,RU,43.9884,40.9552,32.23,32.23,95,100,2.04
258,baiyin,CN,36.5583,104.2081,15.13,21.0,57,0,4.47
259,taraz,KZ,42.9,71.3667,14.32,14.32,89,8,1.9
260,san lazaro,ML,13.3034,-4.8956,70.63,70.63,16,0,7.4
261,roma,US,43.2128,-75.4557,9.59,9.59,93,98,8.9
262,cayenne,GF,4.9333,-52.3333,77.0,77.0,100,75,4.61
263,lazaro cardenas,DO,19.4558,-71.3261,75.0,75.0,79,3,3.0
264,tuatapere,NZ,-46.1333,167.6833,48.0,48.0,80,97,8.01
265,doha,QA,25.2867,51.5333,60.8,60.8,94,0,1.14
266,pedro carbo,BR,-18.9904,-47.1415,67.69,67.69,75,100,3.78
267,hamakita,JP,34.8,137.7833,38.41,41.0,64,20,23.02
268,dongsheng,CN,39.8161,109.9776,17.51,17.51,80,0,18.39
269,mildura,AU,-34.2,142.15,71.6,71.6,100,90,11.5
270,yazd,IR,31.8972,54.3675,52.86,52.86,36,0,6.22
271,komsomolskiy,UZ,40.4272,71.7189,28.4,28.4,59,0,4.61
272,raudeberg,NO,61.9875,5.1352,33.19,33.19,87,99,20.67
273,saint-philippe,RE,-21.3585,55.7679,74.17,77.0,69,0,8.05
274,esperance,AU,-33.8667,121.9,65.88,65.88,63,20,10.29
275,padang,ID,-0.9492,100.3543,75.2,75.2,94,75,3.44
276,sembe,CG,1.6481,14.5806,73.58,73.58,80,96,2.53
277,middlebury,US,44.0153,-73.1673,14.04,15.01,67,90,10.36
278,yuanping,CN,38.7153,112.7575,19.92,19.92,70,0,0.07
279,shiringushi,RU,53.8485,42.7676,24.01,24.01,97,100,11.81
280,haines junction,US,59.2286,-135.4441,12.2,12.2,67,90,11.5
